Wed Mar 29 15:48:12 EDT 2017 |  coup M : g8f6
Wed Mar 29 15:48:28 EDT 2017 |  coup(joue) H : e3g1
Wed Mar 29 15:48:28 EDT 2017 |  coup(inscrit) H : e3g1
Wed Mar 29 15:48:28 EDT 2017 |  coup M : f6e4
Wed Mar 29 15:48:39 EDT 2017 |  coup(joue) H : g1e3
Wed Mar 29 15:48:39 EDT 2017 |  coup(inscrit) H : g1e3
Wed Mar 29 15:48:39 EDT 2017 |  coup M : d8d4
Wed Mar 29 15:51:56 EDT 2017 |  coup(joue) H : c1a3
Wed Mar 29 15:51:56 EDT 2017 |  coup(inscrit) H : c1a3
Wed Mar 29 15:52:20 EDT 2017 |  coup(joue) H : c1e3
Wed Mar 29 15:52:20 EDT 2017 |  coup(inscrit) H : c1e3
Wed Mar 29 15:52:20 EDT 2017 |  coup M : g8f6
Wed Mar 29 15:52:30 EDT 2017 |  coup(joue) H : e3c1
Wed Mar 29 15:52:30 EDT 2017 |  coup(inscrit) H : e3c1
Wed Mar 29 15:52:30 EDT 2017 |  coup M : f6e4
Wed Mar 29 15:52:47 EDT 2017 |  coup(joue) H : c1e3
Wed Mar 29 15:52:47 EDT 2017 |  coup(inscrit) H : c1e3
Wed Mar 29 15:52:47 EDT 2017 |  coup M : d8d4
Wed Mar 29 15:53:47 EDT 2017 |  coup(joue) H : e3g1
Wed Mar 29 15:53:47 EDT 2017 |  coup(inscrit) H : e3g1
Wed Mar 29 15:53:47 EDT 2017 |  coup M : b7a6
Wed Mar 29 15:54:45 EDT 2017 |  coup(joue) H : c1e3
Wed Mar 29 15:54:46 EDT 2017 |  coup(inscrit) H : c1e3
Wed Mar 29 15:54:46 EDT 2017 |  coup M : g8f6
Wed Mar 29 15:54:55 EDT 2017 |  coup(joue) H : e3g1
Wed Mar 29 15:54:55 EDT 2017 |  coup(inscrit) H : e3g1
Wed Mar 29 15:54:55 EDT 2017 |  coup M : f6e4
Wed Mar 29 15:55:08 EDT 2017 |  coup(joue) H : g1e3
Wed Mar 29 15:55:08 EDT 2017 |  coup(inscrit) H : g1e3
Wed Mar 29 15:55:46 EDT 2017 |  coup(joue) H : f1d3
Wed Mar 29 15:55:46 EDT 2017 |  coup(inscrit) H : f1d3
Wed Mar 29 15:56:52 EDT 2017 |  coup(joue) H : f1d3
Wed Mar 29 15:56:52 EDT 2017 |  coup(inscrit) H : f1d3
Wed Mar 29 15:57:37 EDT 2017 |  coup(joue) H : f1d3
Wed Mar 29 15:57:37 EDT 2017 |  coup(inscrit) H : f1d3
Wed Mar 29 15:57:37 EDT 2017 |  coup M : g8f6
Wed Mar 29 15:58:54 EDT 2017 |  coup(joue) H : f1d3
Wed Mar 29 15:58:54 EDT 2017 |  coup(inscrit) H : f1d3
Wed Mar 29 15:58:54 EDT 2017 |  coup M : g8f6
Wed Mar 29 15:59:08 EDT 2017 |  coup(joue) H : d3f1
Wed Mar 29 15:59:08 EDT 2017 |  coup(inscrit) H : d3f1
Wed Mar 29 15:59:08 EDT 2017 |  coup M : f6e4
Wed Mar 29 15:59:21 EDT 2017 |  coup(joue) H : f1d3
Wed Mar 29 15:59:21 EDT 2017 |  coup(inscrit) H : f1d3
Wed Mar 29 15:59:21 EDT 2017 |  coup M : d8d4
Wed Mar 29 15:59:32 EDT 2017 |  coup(joue) H : d3b1
Wed Mar 29 15:59:32 EDT 2017 |  coup(inscrit) H : d3b1
Wed Mar 29 15:59:32 EDT 2017 |  coup M : b7a6
Wed Mar 29 16:00:19 EDT 2017 |  coup(joue) H : f1d3
Wed Mar 29 16:00:19 EDT 2017 |  coup(inscrit) H : f1d3
Wed Mar 29 16:00:19 EDT 2017 |  coup M : g8f6
Wed Mar 29 16:01:21 EDT 2017 |  coup(joue) H : f1d3
Wed Mar 29 16:01:21 EDT 2017 |  coup(inscrit) H : f1d3
Wed Mar 29 16:01:21 EDT 2017 |  coup M : g8f6
Wed Mar 29 16:03:13 EDT 2017 |  coup(joue) H : c1e3
Wed Mar 29 16:03:13 EDT 2017 |  coup(inscrit) H : c1e3
Wed Mar 29 16:03:13 EDT 2017 |  coup M : g8f6
Wed Mar 29 16:03:21 EDT 2017 |  coup(joue) H : e3c1
Wed Mar 29 16:03:21 EDT 2017 |  coup(inscrit) H : e3c1
Wed Mar 29 16:03:21 EDT 2017 |  coup M : f6e4
Wed Mar 29 16:03:32 EDT 2017 |  coup(joue) H : c1a3
Wed Mar 29 16:03:32 EDT 2017 |  coup(inscrit) H : c1a3
Wed Mar 29 16:03:32 EDT 2017 |  coup M : d8d4
Wed Mar 29 16:05:29 EDT 2017 |  coup(joue) H : c1a3
Wed Mar 29 16:05:29 EDT 2017 |  coup(inscrit) H : c1a3
Wed Mar 29 16:05:29 EDT 2017 |  coup M : g8f6
Wed Mar 29 16:06:10 EDT 2017 |  coup(joue) H : c1a4
Wed Mar 29 16:06:10 EDT 2017 |  coup(inscrit) H : c1a4
Wed Mar 29 16:06:17 EDT 2017 |  coup(joue) H : c1a3
Wed Mar 29 16:06:17 EDT 2017 |  coup(inscrit) H : c1a3
Wed Mar 29 16:06:18 EDT 2017 |  coup M : g8f6
Wed Mar 29 16:06:32 EDT 2017 |  coup(joue) H : a3c1
Wed Mar 29 16:06:32 EDT 2017 |  coup(inscrit) H : a3c1
